LG	Segment	OXT	Nuclei	PercentOXT
LG2	Antrum	1	28252	0.003539572
LG3	Antrum	61	6477	0.94179404
LG4	Antrum	0	7749	0
LG5	Antrum	2	19688	0.010158472
LG2	Ascolon	1	22837	0.004378859
LG3	Ascolon	0	4678	0
LG4	Ascolon	1	7966	0.012553352
LG5	Ascolon	33	34716	0.095057034
LG3	Body	5	14374	0.034785029
LG4	Body	0	32298	0
LG5	Body	8	7045	0.113555713
LG2	Descolon	0	15274	0
LG4	Descolon	17	6596	0.257731959
LG5	Descolon	0	14128	0
LG2	Duodenum	60	25108	0.23896766
LG3	Duodenum	153	8749	1.748771288
LG4	Duodenum	80	42363	0.188844038
LG5	Duodenum	11	3024	0.363756614
LG3	Fundus	0	13113	0
LG4	Fundus	0	11367	0
LG5	Fundus	2	4738	0.042211904
LG2	LowerIleum	13	26266	0.049493642
LG3	LowerIleum	13	9725	0.133676093
LG4	LowerIleum	0	43537	0
LG5	LowerIleum	10	11442	0.087397308
LG2	LowerJejunum	23	51175	0.04494382
LG3	LowerJejunum	83	14964	0.554664528
LG4	LowerJejunum	0	17162	0
LG5	LowerJejunum	0	12406	0
LG2	MidIleum	19	18724	0.101474044
LG3	MidIleum	94	10587	0.887881364
LG4	MidIleum	19	17127	0.110935949
LG5	MidIleum	2	17336	0.011536687
LG2	MidJejunum	267	40947	0.652062422
LG3	MidJejunum	311	35777	0.869273556
LG4	MidJejunum	9	38719	0.023244402
LG5	MidJejunum	289	23815	1.21352089
LG2	Sigcolon	0	13047	0
LG4	Sigcolon	4	24201	0.016528243
LG5	Sigcolon	0	11110	0
LG2	Transcolon	2	22766	0.00878503
LG3	Transcolon	0	12890	0
LG4	Transcolon	43	21440	0.200559701
LG5	Transcolon	3	23227	0.012916003
LG2	UpperIleum	3	19719	0.015213753
LG3	UpperIleum	60	8353	0.718304801
LG4	UpperIleum	3	27217	0.011022523
LG5	UpperIleum	8	20156	0.039690415
LG2	UpperJejunum	230	15230	1.510177282
LG3	UpperJejunum	242	14711	1.64502753
LG4	UpperJejunum	42	6359	0.660481208
LG5	UpperJejunum	44	33717	0.130497968
