Mouse	Segment	OXT	Sex	Nuclei	PercentOXT
F4	Cecum	17	F	15569	0.109191342
F4	DistalLI	16	F	7871	0.203277855
F4	DistalSI	7	F	14685	0.047667688
F4	MidLI	138	F	14474	0.953433743
F4	ProxLI	280	F	17545	1.595896267
F4	ProxSI	8	F	35960	0.022246941
F4	Stomach	59	F	31261	0.188733566
F5	Cecum	26	F	16007	0.162428937
F5	DistalLI	3	F	8369	0.035846577
F5	DistalSI	10	F	17939	0.055744467
F5	MidLI	48	F	9462	0.507292327
F5	ProxLI	137	F	23256	0.589095287
F5	ProxSI	11	F	14031	0.078397833
F5	Stomach	19	F	117635	0.016151656
F6	Cecum	9	F	26456	0.034018748
F6	DistalLI	8	F	14155	0.056517132
F6	DistalSI	5	F	23067	0.021675987
F6	MidLI	162	F	11115	1.457489879
F6	ProxLI	180	F	9733	1.849378403
F6	ProxSI	1	F	13030	0.007674597
F6	Stomach	221	F	25643	0.861833639
M4	Cecum	132	M	29701	0.44442948
M4	DistalLI	28	M	15352	0.18238666
M4	DistalSI	62	M	15279	0.405785719
M4	MidLI	242	M	27449	0.881635032
M4	ProxLI	418	M	32040	1.304619226
M4	ProxSI	16	M	26968	0.059329576
M4	Stomach	11	M	59705	0.018423918
M5	Cecum	18	M	26180	0.068754775
M5	DistalLI	74	M	20434	0.362141529
M5	DistalSI	49	M	13951	0.351229303
M5	MidLI	200	M	14352	1.393534002
M5	ProxLI	178	M	16737	1.063511979
M5	ProxSI	2	M	19398	0.010310341
M5	Stomach	256	M	39038	0.6557713
M6	Cecum	26	M	26956	0.09645348
M6	DistalLI	0	M	12113	0
M6	DistalSI	18	M	11505	0.156453716
M6	MidLI	179	M	10688	1.674775449
M6	ProxLI	173	M	11554	1.497316947
M6	ProxSI	39	M	27608	0.141263402
M6	Stomach	130	M	45699	0.28447012
