SampleName	Concentration	LifeGift	Treatment	Replicate	Segment
DescendingColon6475C_LG4	7.5	LG4	6475	C	DescendingColon
LowerJejunum6475A_LG5	7.5	LG5	6475	A	LowerJejunum
AscendingColon6475A_LG5	7.5	LG5	6475	A	AscendingColon
AscendingColon6475B_LG5	7.5	LG5	6475	B	AscendingColon
AscendingColon6475C_LG5	7.5	LG5	6475	C	AscendingColon
TransverseColon6475A_LG5	7.5	LG5	6475	A	TransverseColon
TransverseColon6475B_LG5	7.5	LG5	6475	B	TransverseColon
TransverseColon6475C_LG5	7.5	LG5	6475	C	TransverseColon
DescendingColon6475A_LG5	7.5	LG5	6475	A	DescendingColon
DescendingColon6475B_LG5	7.5	LG5	6475	B	DescendingColon
DescendingColon6475C_LG5	7.5	LG5	6475	C	DescendingColon
Duodenum6475A_LG3	7.5	LG3	6475	A	Duodenum
Duodenum6475B_LG3	7.5	LG3	6475	B	Duodenum
Duodenum6475C_LG3	7.5	LG3	6475	C	Duodenum
DescendingColon6475B_LG4	38.72500598	LG4	6475	B	DescendingColon
DescendingColon6475A_LG4	38.85804638	LG4	6475	A	DescendingColon
TransverseColon6475A_LG4	41.3070409	LG4	6475	A	TransverseColon
AscendingColon6475A_LG4	56.28826975	LG4	6475	A	AscendingColon
AscendingColon6475C_LG4	61.06703079	LG4	6475	C	AscendingColon
TransverseColon6475B_LG4	63.52260844	LG4	6475	B	TransverseColon
AscendingColon6475B_LG4	69.97847043	LG4	6475	B	AscendingColon
DescendingColon6475B_LG3	71.11165639	LG3	6475	B	DescendingColon
DescendingColon6475C_LG3	78.08155081	LG3	6475	C	DescendingColon
UpperIleum6475B_LG3	78.77131244	LG3	6475	B	UpperIleum
UpperIleum6475C_LG3	80.57959783	LG3	6475	C	UpperIleum
UpperJejunum6475B_LG3	89.56732746	LG3	6475	B	UpperJejunum
UpperJejunum6475A_LG3	91.03548064	LG3	6475	A	UpperJejunum
LowerIleum6475B_LG3	98.28675018	LG3	6475	B	LowerIleum
LowerJejunum6475C_LG1	102.2223582	LG1	6475	C	LowerJejunum
LowerIleum6475B_LG5	102.5016694	LG5	6475	B	LowerIleum
LowerJejunum6475A_LG1	106.0494252	LG1	6475	A	LowerJejunum
UpperJejunum6475A_LG1	110.7006764	LG1	6475	A	UpperJejunum
UpperIleum6475B_LG5	111.9436668	LG5	6475	B	UpperIleum
TransverseColon6475C_LG4	116.2739057	LG4	6475	C	TransverseColon
LowerIleum6475A_LG5	120.8793749	LG5	6475	A	LowerIleum
LowerJejunum6475B_LG3	123.2352416	LG3	6475	B	LowerJejunum
LowerIleum6475C_LG3	123.4202297	LG3	6475	C	LowerIleum
LowerIleum6475B_LG1	125.2019882	LG1	6475	B	LowerIleum
LowerJejunum6475B_LG1	127.7878297	LG1	6475	B	LowerJejunum
LowerJejunum6475C_LG3	130.0151432	LG3	6475	C	LowerJejunum
UpperJejunum6475C_LG1	130.6308052	LG1	6475	C	UpperJejunum
TransverseColon6475B_LG3	134.490677	LG3	6475	B	TransverseColon
Duodenum6475A_LG1	136.5084377	LG1	6475	A	Duodenum
TransverseColon6475C_LG3	141.1167652	LG3	6475	C	TransverseColon
UpperIleum6475B_LG1	143.332029	LG1	6475	B	UpperIleum
Duodenum6475B_LG1	143.557502	LG1	6475	B	Duodenum
LowerJejunum6475A_LG3	143.5885973	LG3	6475	A	LowerJejunum
UpperIleum6475C_LG1	144.6927701	LG1	6475	C	UpperIleum
UpperJejunum6475B_LG1	146.0679286	LG1	6475	B	UpperJejunum
TransverseColon6475B_LG2	147.2203193	LG2	6475	B	TransverseColon
LowerIleum6475A_LG3	151.8601293	LG3	6475	A	LowerIleum
LowerIleum6475C_LG5	156.3165728	LG5	6475	C	LowerIleum
DescendingColon6475B_LG2	156.8952569	LG2	6475	B	DescendingColon
