Sample	Sex	Segment	Treatment	Batch	ConcentrationSTD	ConcentrationSTDremovelow	Mouse	Mousebatch
F1Cec	F	Cecum	Lreu	1	42.86	42.86	F1	F1_1
F1Cec	F	Cecum	LDM4	2	21.18	21.18	F1	F1_2
F1LI	F	LI	Lreu	1	59.12	59.12	F1	F1_1
F1LI	F	LI	LDM4	2	52.16	52.16	F1	F1_2
F1SI	F	SI	Lreu	1	0.1	7.5	F1	F1_1
F1SI	F	SI	LDM4	2	0	7.5	F1	F1_2
F1Sto	F	Stomach	Lreu	1	18.49	18.49	F1	F1_1
F1Sto	F	Stomach	LDM4	2	4.941	7.5	F2	F2_2
F2Cec	F	Cecum	LDM4	1	15.98	15.98	F2	F2_1
F2Cec	F	Cecum	Lreu	2	22.04	22.04	F2	F2_2
F2LI	F	LI	LDM4	1	41.46	41.46	F2	F2_1
F2LI	F	LI	Lreu	2	50.65	50.65	F2	F2_2
F2SI	F	SI	LDM4	1	85.8	85.8	F2	F2_1
F2SI	F	SI	Lreu	2	38.84	38.84	F2	F2_2
F2Sto	F	Stomach	LDM4	1	27.48	27.48	F2	F2_1
F2Sto	F	Stomach	Lreu	2	31.01	31.01	F2	F2_2
F3Cec	F	Cecum	Lreu	1	40.56	40.56	F3	F3_1
F3Cec	F	Cecum	LDM4	2	16.83	16.83	F3	F3_2
F3LI	F	LI	Lreu	1	58.12	58.12	F3	F3_1
F3LI	F	LI	LDM4	2	55.25	55.25	F3	F3_2
F3SI	F	SI	Lreu	1	0.1	7.5	F3	F3_1
F3SI	F	SI	LDM4	2	67.46	67.46	F3	F3_2
F3Sto	F	Stomach	Lreu	1	45.14	45.14	F3	F3_1
F3Sto	F	Stomach	LDM4	2	15.38	15.38	F3	F3_2
F4Cec	F	Cecum	LDM4	1	27.61	27.61	F4	F4_1
F4Cec	F	Cecum	Lreu	2	45.7	45.7	F4	F4_2
F4LI	F	LI	LDM4	1	0.1	7.5	F4	F4_1
F4LI	F	LI	Lreu	2	67.76	67.76	F4	F4_2
F4SI	F	SI	LDM4	1	0.1	7.5	F4	F4_1
F4SI	F	SI	Lreu	2	66.1	66.1	F4	F4_2
F4Sto	F	Stomach	LDM4	1	29.35	29.35	F4	F4_1
F4Sto	F	Stomach	Lreu	2	48.51	48.51	F4	F4_2
