"Replicate"	"Treatment"	"Oxytocin"	"Induction"	"OxytocinCorrected"
1	Bsubtilis	11.54879495	Induced	7.5
1	Bsubtilis	11.32669267	Induced	7.5
2	Bsubtilis	10.76288397	Induced	7.5
2	Bsubtilis	20.64595836	Induced	20.64595836
3	Bsubtilis	15.98848621	Induced	15.98848621
3	Bsubtilis	24.15412141	Induced	24.15412141
1	LDM4	12.12724399	Induced	7.5
1	LDM4	21.70252838	Induced	21.70252838
2	LDM4	11.38998782	Induced	7.5
2	LDM4	21.55991656	Induced	21.55991656
3	LDM4	11.6097266	Induced	7.5
3	LDM4	22.94830413	Induced	22.94830413
1	Nissle	14.64595836	Induced	7.5
1	Nissle	17.64595836	Induced	17.64595836
2	Nissle	10.40138014	Induced	7.5
2	Nissle	15.74159599	Induced	15.74159599
3	Nissle	11.16294239	Induced	7.5
3	Nissle	14.42574683	Induced	7.5
1	Lreu6475	199.1150729	Induced	199.1150729
2	Lreu6475	273.5998624	Induced	273.5998624
2	Lreu6475	199.7344216	Induced	199.7344216
3	Lreu6475	152.8228641	Induced	152.8228641
3	Lreu6475	212.5228594	Induced	212.5228594
