Plate	Well	Row	Column	CellType	Rep	Samplegroup	Batch	Sample	Primer	Replicate	SampleName	Date	CT
testqRT_115	A1	A	1	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	A	nortDiff_A	CHGA	1	nortDiff_A_CHGA_1	210116	
testqRT_115	A10	A	10	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	CHGA	3	sampleDiff_B_CHGA_3	210116	29.346
testqRT_115	A11	A	11	J2NGN3	3DenteroidsfromDec2020Jan2021	blank	NA	blankblank	CHGA	1	blankblank_CHGA_1	210116	
testqRT_115	A12	A	12	J2NGN3	3DenteroidsfromDec2020Jan2021	blank	NA	blankblank	CHGA	2	blankblank_CHGA_2	210116	
testqRT_115	A2	A	2	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	A	nortDiff_A	CHGA	2	nortDiff_A_CHGA_2	210116	
testqRT_115	A3	A	3	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	CHGA	1	sampleDiff_A_CHGA_1	210116	30.339
testqRT_115	A4	A	4	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	CHGA	2	sampleDiff_A_CHGA_2	210116	29.009
testqRT_115	A5	A	5	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	CHGA	3	sampleDiff_A_CHGA_3	210116	31.520
testqRT_115	A6	A	6	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	B	nortDiff_B	CHGA	1	nortDiff_B_CHGA_1	210116	
testqRT_115	A7	A	7	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	B	nortDiff_B	CHGA	2	nortDiff_B_CHGA_2	210116	
testqRT_115	A8	A	8	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	CHGA	1	sampleDiff_B_CHGA_1	210116	28.249
testqRT_115	A9	A	9	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	CHGA	2	sampleDiff_B_CHGA_2	210116	28.846
testqRT_115	B1	B	1	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	A	nortDiff_A	GAPDH	1	nortDiff_A_GAPDH_1	210116	
testqRT_115	B10	B	10	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	GAPDH	3	sampleDiff_B_GAPDH_3	210116	19.418
testqRT_115	B2	B	2	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	A	nortDiff_A	GAPDH	2	nortDiff_A_GAPDH_2	210116	
testqRT_115	B3	B	3	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	GAPDH	1	sampleDiff_A_GAPDH_1	210116	21.003
testqRT_115	B4	B	4	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	GAPDH	2	sampleDiff_A_GAPDH_2	210116	21.109
testqRT_115	B5	B	5	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	A	sampleDiff_A	GAPDH	3	sampleDiff_A_GAPDH_3	210116	21.897
testqRT_115	B6	B	6	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	B	nortDiff_B	GAPDH	1	nortDiff_B_GAPDH_1	210116	
testqRT_115	B7	B	7	J2NGN3	3DenteroidsfromDec2020Jan2021	nortDiff	B	nortDiff_B	GAPDH	2	nortDiff_B_GAPDH_2	210116	
testqRT_115	B8	B	8	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	GAPDH	1	sampleDiff_B_GAPDH_1	210116	19.856
testqRT_115	B9	B	9	J2NGN3	3DenteroidsfromDec2020Jan2021	Diff	B	sampleDiff_B	GAPDH	2	sampleDiff_B_GAPDH_2	210116	19.405
