Oxytocin	Treatment	Experiment
7.5	Krebs	1
7.5	Krebs	1
7.5	Krebs	1
7.5	Krebs	2
7.5	Krebs	2
7.5	Krebs	2
7.5	Krebs	3
7.5	Krebs	3
7.5	Krebs	3
7.5	Krebs	3
7.5	Secretin_inhibitor	1
7.5	Secretin_inhibitor	1
7.5	Secretin_inhibitor	2
7.5	Secretin_inhibitor	2
7.5	Secretin_inhibitor	2
7.5	Secretin_inhibitor	2
7.5	Secretin_inhibitor	3
7.5	Secretin_inhibitor	3
7.5	Secretin_inhibitor	3
7.5	Secretin_inhibitor	3
16.17007387	Krebs	1
19.24273425	Krebs	2
19.78868517	Secretin_inhibitor	1
20.40047866	6475_5-27	2
21.41126557	6475_5-27	3
22.19318772	Secretin_inhibitor	1
22.64160796	6475_5-27	2
23.02160116	6475_5-27	1
24.67601659	6475_5-27	3
25.96312788	6475_5-27	2
28.63214689	6475_5-27	2
32.70932568	6475_5-27	3
41.77754978	6475_5-27	1
48.70932242	6475_5-27	3
50.30933261	6475_5-27	1
53.94083007	6475_5-27	1
91.57940578	6475	3
91.71905276	6475	3
112.3909427	6475	3
113.2821586	6475	1
116.3477255	6475	2
161.3630202	6475	3
205.9631279	6475	2
222.641608	6475	2
240.2793612	6475	1
249.6760166	6475	2
253.8870685	6475	1
330.082169	6475	1
