Treatment	Segment	LifeGift	Secretin
6475	DescendingColon	LG5	7.5
LDM4	TransverseColon	LG5	7.5
LDM4	Duodenum	LG5	7.5
LDM4	AscendingColon	LG5	7.5
LDM4	DescendingColon	LG4	7.5
LDM4	TransverseColon	LG4	7.5
LDM4	DescendingColon	LG5	15.60478
LDM4	Duodenum	LG5	15.795966
LDM4	TransverseColon	LG4	16.274906
LDM4	LowerIleum	LG5	17.15714
LDM4	AscendingColon	LG4	17.608694
6475	DescendingColon	LG5	18.05329877
6475	TransverseColon	LG4	18.2903
LDM4	AscendingColon	LG4	18.602628
LDM4	UpperIleum	LG3	18.71604
LDM4	UpperIleum	LG5	18.7308
LDM4	TransverseColon	LG4	18.90928
LDM4	UpperJejunum	LG4	19.590814
LDM4	LowerJejunum	LG5	20.02444
LDM4	UpperIleum	LG3	20.256488
LDM4	UpperJejunum	LG4	20.49816
LDM4	LowerJejunum	LG3	20.747672
6475	AscendingColon	LG4	20.91012
LDM4	Duodenum	LG4	21.10856
LDM4	DescendingColon	LG5	21.483152
LDM4	Duodenum	LG5	22.00546
6475	DescendingColon	LG4	22.0923377
LDM4	DescendingColon	LG4	22.25842
LDM4	LowerJejunum	LG3	22.421328
6475	TransverseColon	LG4	22.6707
LDM4	LowerIleum	LG5	22.77372
LDM4	LowerJejunum	LG3	23.461808
6475	TransverseColon	LG5	23.73506
LDM4	DescendingColon	LG4	24.0054
LDM4	Duodenum	LG4	24.39816
LDM4	LowerJejunum	LG5	24.54498
6475	TransverseColon	LG4	24.86274
LDM4	LowerJejunum	LG5	25.13364
LDM4	UpperIleum	LG5	25.5848
LDM4	DescendingColon	LG5	26.41046
6475	TransverseColon	LG5	26.74432
6475	AscendingColon	LG4	27.077
LDM4	Duodenum	LG3	27.57874689
LDM4	LowerJejunum	LG4	27.61162
LDM4	UpperJejunum	LG4	27.6884
LDM4	UpperJejunum	LG5	27.79725279
LDM4	AscendingColon	LG5	28.09134
6475	AscendingColon	LG4	28.357
LDM4	UpperIleum	LG4	29.08684
6475	DescendingColon	LG4	29.87529609
6475	DescendingColon	LG5	29.91245477
LDM4	UpperIleum	LG4	31.11042
6475	AscendingColon	LG5	31.46964
6475	DescendingColon	LG4	31.56561848
LDM4	UpperJejunum	LG5	31.63332135
LDM4	LowerIleum	LG4	31.6806
LDM4	LowerJejunum	LG4	32.7256
LDM4	AscendingColon	LG3	33.2956875
LDM4	LowerIleum	LG4	34.27304
LDM4	AscendingColon	LG3	34.593735
LDM4	AscendingColon	LG4	34.8624
6475	AscendingColon	LG5	35.47286
LDM4	UpperJejunum	LG3	35.552656
LDM4	LowerIleum	LG5	35.91822
LDM4	TransverseColon	LG5	35.91822
LDM4	UpperIleum	LG4	36.11336
6475	TransverseColon	LG5	36.57424
LDM4	TransverseColon	LG5	37.15714
LDM4	LowerJejunum	LG4	37.32516
LDM4	UpperIleum	LG5	37.56278
LDM4	LowerIleum	LG3	37.6782675
LDM4	Duodenum	LG4	37.7604
LDM4	AscendingColon	LG5	38.1068
LDM4	UpperJejunum	LG5	38.1820252
LDM4	UpperJejunum	LG3	39.444152
LDM4	TransverseColon	LG3	40.188155
LDM4	LowerIleum	LG3	41.1832125
LDM4	TransverseColon	LG3	41.830411
6475	TransverseColon	LG3	41.926521
6475	AscendingColon	LG5	42.6911
LDM4	AscendingColon	LG3	43.0649625
LDM4	TransverseColon	LG3	44.318022
6475	TransverseColon	LG3	44.366091
LDM4	DescendingColon	LG3	44.435608
LDM4	UpperIleum	LG3	44.822568
6475	AscendingColon	LG3	45.650355
6475	LowerIleum	LG4	46.1318
LDM4	LowerIleum	LG4	46.92626
6475	TransverseColon	LG3	47.300596
LDM4	LowerIleum	LG3	47.73543
6475	DescendingColon	LG3	49.432832
LDM4	Duodenum	LG3	52.70818873
6475	DescendingColon	LG3	52.983512
6475	UpperIleum	LG4	55.42632
6475	DescendingColon	LG3	60.007472
LDM4	DescendingColon	LG3	64.050632
LDM4	DescendingColon	LG3	66.486152
LDM4	UpperJejunum	LG3	74.337792
6475	LowerIleum	LG4	77.68336
6475	AscendingColon	LG3	79.1052
LDM4	Duodenum	LG3	80.32793756
6475	Duodenum	LG5	86.57286
6475	LowerIleum	LG4	89.26226
6475	LowerIleum	LG5	103.85294
6475	Duodenum	LG5	105.35312
6475	Duodenum	LG5	105.87334
6475	LowerIleum	LG5	116.45414
