Treatment	Segment	OXT	Pigcode	Pig	Rep	OXTcorrected
Krebs	Duodenum	15	Pig2_1	2	1	7.5
Krebs	Jejunum	15	Pig2_1	2	1	7.5
Krebs	Ileum	10.91803044	Pig2_1	2	1	7.5
LDM4	Duodenum	9.217821118	Pig2_1	2	1	7.5
LDM4	Jejunum	15	Pig2_1	2	1	7.5
LDM4	Ileum	4.824173739	Pig2_1	2	1	7.5
Krebs	Jejunum	15	Pig2_2	2	2	7.5
Krebs	Ileum	15	Pig2_2	2	2	7.5
Krebs	Ascending Colon	15	Pig2_2	2	2	7.5
LDM4	Duodenum	5.547433959	Pig2_2	2	2	7.5
LDM4	Jejunum	15	Pig2_2	2	2	7.5
LDM4	Ileum	15	Pig2_2	2	2	7.5
LDM4	Ascending Colon	8.996624917	Pig2_2	2	2	7.5
Krebs	Ileum	6.227600514	Pig2_3	2	3	7.5
Krebs	Ascending Colon	15	Pig2_3	2	3	7.5
LDM4	Duodenum	0.335215011	Pig2_3	2	3	7.5
Krebs	Ileum	NA	Pig1_1	1	1	7.5
Krebs	Ascending Colon	NA	Pig1_1	1	1	7.5
Krebs	Descending Colon	NA	Pig1_1	1	1	7.5
LDM4	Ileum	NA	Pig1_1	1	1	7.5
LDM4	Ascending Colon	NA	Pig1_1	1	1	7.5
LDM4	Descending Colon	NA	Pig1_1	1	1	7.5
6475	Ileum	NA	Pig1_1	1	1	7.5
6475	Ascending Colon	NA	Pig1_1	1	1	7.5
6475	Descending Colon	NA	Pig1_1	1	1	7.5
Krebs	Ileum	NA	Pig1_2	1	2	7.5
Krebs	Ascending Colon	NA	Pig1_2	1	2	7.5
Krebs	Descending Colon	NA	Pig1_2	1	2	7.5
LDM4	Ileum	NA	Pig1_2	1	2	7.5
LDM4	Ascending Colon	NA	Pig1_2	1	2	7.5
LDM4	Descending Colon	NA	Pig1_2	1	2	7.5
6475	Ileum	NA	Pig1_2	1	2	7.5
6475	Ascending Colon	NA	Pig1_2	1	2	7.5
6475	Descending Colon	NA	Pig1_2	1	2	7.5
Krebs	Ileum	NA	Pig1_3	1	3	7.5
Krebs	Ascending Colon	NA	Pig1_3	1	3	7.5
Krebs	Descending Colon	NA	Pig1_3	1	3	7.5
LDM4	Ileum	NA	Pig1_3	1	3	7.5
LDM4	Ascending Colon	NA	Pig1_3	1	3	7.5
LDM4	Descending Colon	NA	Pig1_3	1	3	7.5
6475	Ileum	NA	Pig1_3	1	3	7.5
6475	Ascending Colon	NA	Pig1_3	1	3	7.5
6475	Descending Colon	NA	Pig1_3	1	3	7.5
Krebs	Duodenum	15	Pig3_1	3	1	7.5
Krebs	Jejunum	15	Pig3_1	3	1	7.5
Krebs	Ileum	NA	Pig3_1	3	1	7.5
Krebs	Ascending Colon	NA	Pig3_1	3	1	7.5
Krebs	Descending Colon	NA	Pig3_1	3	1	7.5
LDM4	Duodenum	15	Pig3_1	3	1	7.5
LDM4	Jejunum	15	Pig3_1	3	1	7.5
LDM4	Ileum	15	Pig3_1	3	1	7.5
LDM4	Ascending Colon	15	Pig3_1	3	1	7.5
LDM4	Descending Colon	15	Pig3_1	3	1	7.5
6475	Ascending Colon	15	Pig3_1	3	1	7.5
6475	Descending Colon	15	Pig3_1	3	1	7.5
Krebs	Duodenum	15	Pig3_2	3	2	7.5
Krebs	Jejunum	15	Pig3_2	3	2	7.5
Krebs	Ileum	15	Pig3_2	3	2	7.5
Krebs	Ascending Colon	15	Pig3_2	3	2	7.5
Krebs	Descending Colon	15	Pig3_2	3	2	7.5
LDM4	Duodenum	15	Pig3_2	3	2	7.5
LDM4	Jejunum	15	Pig3_2	3	2	7.5
LDM4	Ileum	15	Pig3_2	3	2	7.5
LDM4	Ascending Colon	15	Pig3_2	3	2	7.5
LDM4	Descending Colon	15	Pig3_2	3	2	7.5
6475	Ascending Colon	15	Pig3_2	3	2	7.5
